areacode,cat1,cat2,cat3,contentid,contenttypeid,mapx,mapy,readcount,title,addr1,code
32,A05,A0502,A05020100,2670568,39,127.9521546,37.38470701,0,태장삼겹살,강원도 원주시 북원로2704번길 51,32020
39,A05,A0502,A05020100,2670570,39,126.5425547,33.50314417,0,우원,제주특별자치도 제주시 고마로 129,39010
2,A05,A0502,A05020100,2670571,39,126.6436776,37.5290943,0,육가대표 청라,인천광역시 서구 청라커낼로 229-12,23080
1,A05,A0502,A05020100,2670580,39,127.0002991,37.58387484,0,포크랜드,서울특별시 종로구 창경궁로 258-10,11010
1,A05,A0502,A05020900,2670582,39,126.983562,37.57448397,0,설레는마중,서울특별시 종로구 인사동길 49,11010
39,A05,A0502,A05020100,2670584,39,126.5149462,33.49397252,0,솔정가든,제주특별자치도 제주시 오라로12길 9,39010
1,A05,A0502,A05020100,2670585,39,127.0367587,37.51941355,0,돌곰네,서울특별시 강남구 언주로146길 18,11230
1,A05,A0502,A05020100,2670588,39,126.9732244,37.56199079,0,미락정,서울특별시 중구 세종대로9길 52,11020
1,A05,A0502,A05020200,2670590,39,126.9947927,37.53476101,0,할랄가이즈 이태원,서울특별시 용산구 이태원로 187,11030
1,A05,A0502,A05020100,2670591,39,126.9737466,37.5625574,0,잼배옥,서울특별시 중구 세종대로9길 68-9,11020
33,A05,A0502,A05020100,2670594,39,128.212282,37.16664258,0,우림정,충청북도 제천시 의림대로 446,33030
33,A05,A0502,A05020100,2670597,39,128.0386038,37.14595561,0,열두달밥상,충청북도 제천시 백운면 금봉로 161,33030
33,A05,A0502,A05020100,2670598,39,128.1346355,37.0004047,0,사과나무집,충청북도 제천시 청풍면 비봉길 2,33030
33,A05,A0502,A05020100,2670599,39,128.1726565,37.02075862,0,청풍황금떡갈비,충청북도 제천시 청풍면 청풍호로 1682,33030
33,A05,A0502,A05020100,2670600,39,128.1628339,37.15947859,0,미당광천막국수,충청북도 제천시 봉양읍 용두대로36길 58,33030
6,A05,A0502,A05020100,2670601,39,129.0554614,35.16050281,0,정동진해물탕,부산광역시 부산진구 서면문화로 37,21050
1,A05,A0502,A05020100,2670604,39,126.9671777,37.56172682,0,비진도해물뚝배기,서울특별시 서대문구 서소문로 53,11130
1,A05,A0502,A05020200,2670605,39,126.9873209,37.54237943,0,알마또,서울특별시 용산구 신흥로 41-1,11030
1,A05,A0502,A05020100,2670606,39,126.9782849,37.56847902,0,광화문석갈비,서울특별시 중구 세종대로 136,11020
1,A05,A0502,A05020100,2670607,39,127.0000269,37.58478585,0,양평해장국,서울특별시 종로구 성균관로4길 48,11010
6,A05,A0502,A05020100,2670611,39,129.036163,35.16411038,0,청와정,부산광역시 부산진구 동평로44번길 55,21050
1,A05,A0502,A05020100,2670612,39,126.9270455,37.55534074,0,이대포사골부대찌개,서울특별시 마포구 와우산로29라길 12,11140
6,A05,A0502,A05020400,2670613,39,129.170704,35.16584879,0,장퀘,부산광역시 해운대구 해운대해변로 383,21090
1,A05,A0502,A05020200,2670614,39,126.9917057,37.5742397,0,살롱순라,서울특별시 종로구 율곡로10길 75,11010
1,A05,A0502,A05020100,2670615,39,126.9349781,37.55471873,0,나주곰탕&오우돈,서울특별시 마포구 신촌로18길 19,11140
7,A05,A0502,A05020100,2670633,39,129.3559437,35.55728334,0,고기와국수이야기 명촌,울산광역시 북구 명촌23길 38,26040
1,A05,A0502,A05020100,2670635,39,126.9732855,37.56348784,0,일품가든,서울특별시 중구 서소문로 109-10,11020
35,A05,A0502,A05020100,2670639,39,128.7329558,36.56494634,0,삼보잡탕해물찜,경상북도 안동시 영가로 19,37040
35,A05,A0502,A05020100,2670641,39,128.7323808,36.56553515,0,거기,경상북도 안동시 음식의길 52,37040
35,A05,A0502,A05020100,2670651,39,128.7323836,36.56475468,0,산청갈비,경상북도 안동시 음식의길 32-7,37040
35,A05,A0502,A05020100,2670653,39,128.7197654,36.55927451,0,옥동손국수,경상북도 안동시 강변마을1길 91,37040
35,A05,A0502,A05020100,2670657,39,128.7322086,36.56498799,0,이조아구찜,경상북도 안동시 음식의길 38,37040
35,A05,A0502,A05020100,2670658,39,128.7329558,36.56494634,0,단향해장국,경상북도 안동시 영가로 19,37040
35,A05,A0502,A05020100,2670660,39,128.6503123,36.59267773,0,예닮,경상북도 안동시 서후면 귀여리길 78-28,37040
35,A05,A0502,A05020100,2670661,39,128.7341362,36.56470194,0,서울갈비,경상북도 안동시 동흥1길 19,37040
35,A05,A0502,A05020100,2670662,39,128.7322614,36.5650852,0,독도해물탕,경상북도 안동시 음식의길 40,37040
35,A05,A0502,A05020100,2670663,39,128.7321281,36.56392144,0,안동명성한우갈비,경상북도 안동시 대안로 178,37040
35,A05,A0502,A05020100,2670679,39,128.7189679,36.57427556,0,피크닉김밥천국,경상북도 안동시 제비원로 249,37040
35,A05,A0502,A05020100,2670735,39,128.7278507,36.56537397,0,안동대장금찜닭,경상북도 안동시 번영1길 45,37040
2,A05,A0502,A05020900,2670736,39,126.739534,37.48628153,0,달다1078,인천광역시 부평구 경인로 1078,23060
35,A05,A0502,A05020100,2670738,39,128.7273868,36.56560449,0,시골찜닭,경상북도 안동시 번영길 6,37040
32,A05,A0502,A05020100,2670742,39,128.90874,37.77252206,0,동궁염소탕,강원도 강릉시 강릉대로419번길 17,32030
31,A02,A0203,A02030400,2670789,12,126.894793,37.6470295,0,슈팅몬스터(고양),경기도 고양시 덕양구 고양대로 1955,31100
1,A05,A0502,A05020200,2670794,39,127.0328439,37.46633353,0,우첼로 더케이호텔서울,서울특별시 서초구 바우뫼로12길 70,11220
32,A05,A0502,A05020100,2670795,39,128.8799373,37.76478629,0,착한황금돼지,강원도 강릉시 율곡초교길47번길 15,32030
32,A05,A0502,A05020300,2670838,39,128.8786734,37.76813587,0,신라이사부독도참치,강원도 강릉시 솔올로 67,32030
32,A05,A0502,A05020100,2670839,39,128.9513014,37.73055275,0,우석정,강원도 강릉시 강동면 시동서당길 113,32030
35,A05,A0502,A05020400,2670840,39,128.7311003,36.56764599,0,만수반점,경상북도 안동시 태사2길 28,37040
32,A05,A0502,A05020100,2670841,39,128.8970944,37.75307686,0,감자바우식당,강원도 강릉시 금성로35번길 4,32030
39,A05,A0502,A05020100,2670842,39,126.5652724,33.24906983,0,왕천파닭,제주특별자치도 서귀포시 중앙로42번길 33-1,39020
32,A05,A0502,A05020100,2670843,39,128.8320458,37.7182213,0,늘푸른토속쌈밥,강원도 강릉시 성산면 구산길 28,32030
32,A05,A0502,A05020100,2670847,39,128.8956472,37.75624314,0,동궁염소탕 중앙,강원도 강릉시 경강로2103번길 15,32030
38,A05,A0502,A05020100,2670848,39,126.3583334,34.75309331,0,유달산숯불갈비,전라남도 목포시 신항로 264,36010
32,A05,A0502,A05020100,2670849,39,128.9181857,37.79536683,0,소라횟집,강원도 강릉시 창해로350번길 11,32030
32,A05,A0502,A05020100,2670851,39,128.8939052,37.77445488,0,황정숙막국수,강원도 강릉시 종합운동장길 43,32030
35,A05,A0502,A05020100,2670852,39,128.668237,36.64338894,0,별천궁,경상북도 안동시 서후면 봉정사길 141,37040
35,A05,A0502,A05020100,2670853,39,128.7315864,36.56662945,0,청하감자탕,경상북도 안동시 태사길 10,37040
35,A05,A0502,A05020100,2670854,39,128.7004393,36.56379863,0,제주복어,경상북도 안동시 복주3길 54,37040
35,A05,A0502,A05020100,2670855,39,128.7323309,36.56378812,0,안동촌갈비,경상북도 안동시 경동로 677-10,37040
35,A05,A0502,A05020100,2670856,39,128.7022419,36.56450692,0,통큰참숯불구이,경상북도 안동시 옥명길 6-7,37040
35,A05,A0502,A05020100,2670857,39,128.732467,36.56350483,0,친절한한우갈비,경상북도 안동시 경동로 677-8,37040
32,A05,A0502,A05020100,2670858,39,128.9070431,37.7658728,0,송여사숯불왕꼼장어,강원도 강릉시 남구길18번길 15,32030
32,A05,A0502,A05020100,2670860,39,128.9070487,37.7663533,0,강릉엄지네꼬막집,강원도 강릉시 경강로2255번길 21,32030
32,A05,A0502,A05020100,2670861,39,128.8986609,37.75405178,0,고향먹거리,강원도 강릉시 금성로 21,32030
31,A05,A0502,A05020100,2670862,39,126.8019022,37.52483927,0,진주식당,경기도 부천시 성오로124번길 37,31050
31,A05,A0502,A05020100,2670864,39,127.1110112,36.99341743,0,등대참치,경기도 평택시 평남로 690,31070
31,A05,A0502,A05020100,2670865,39,127.0453347,36.96028953,0,또올래,경기도 평택시 팽성읍 안정쇼핑로 24-2,31070
31,A05,A0502,A05020500,2670869,39,127.0866828,36.99324202,0,모티마할,경기도 평택시 평택1로9번길 8,31070
